IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
72.251.7.3      | 4UT7HupibA8sKti8PWoeUyWxrBH8cGnjBdszrdnE25Ys | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
51.68.222.125   | 8bWc5Jj7p3gFndjGDEjGaUfHKCCzweJ9in4CxgzNr5MB | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
145.239.203.29  | DZFi2tBBNMw7Azr9bx5nDgWp3RBn3Ge2zoJfjqTq5w74 | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
51.38.91.203    | GUWstdVY6CbUFpjcMtFJY4rgY2SVxTDvs7dKNFCWcEjk | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
51.81.137.233   | 5tSDk9taDCkurhK57WjMBUsJJjtq6ngxsQfnxvUd3hzW | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
64.130.51.80    | 2ByLQjmxfmX6StpQbVRDNrjDNxtjFRBM65QaynND2fpw | 8001   | 8004  | 8010     | none                  | 2.2.0   | 103906889
72.251.7.19     | 6jYhD1C9G6NzbCqFg29w7wiSFyofSHK8qR8oD4ZQt9qV | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
147.135.3.41    | 8jbrLxwTRXpzBWWw7sA93XPEYMXt4Sc7LZkD6vpwFAae | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
149.56.37.100   | 4VBpxuhjK7fG38duDShzhWBd4tZhitB3aSmhZLPFdSyZ | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
91.223.3.195    | 4sGc11xdP3e4bTPqEQDBQKA7sB5ipmsH69qL27Rn9JHA | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
54.36.184.232   | 2Y5rtqp1QhE2jdzQK3hHf6oczAvE2DqdED75b49GCjjj | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
67.213.113.123  | 4WqrHUcJTbEABgaFWAMjrmb7r22mX7yJ4vBqU8xKJd1d | 8000   | 8003  | 8009     | none                  | 2.1.11  | 3039680930
64.31.48.86     | AbRwjfwtFpDN6EX96mdzKsHVRMgXfMzzccSkv4zMYHfG | 8001   | 8004  | 8010     | none                  | 2.1.11  | 3039680930
5.135.126.173   | 582X2uCQn8CaEWMasVKb7sfpn1eGG97Xfjy7dWD2NJgc | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
72.251.3.176    | 7w5LGs4pSkdFicwifKotM6JoVqcdK7zZ8CpLtrzga1am | 9001   | 9004  | 9010     | none                  | 2.1.13  | 1725507508
173.231.44.130  | 2LMWZbC59cwsYAzGzYahC7DTzrfT1wKJ8he3r3TbxwPY | 8000   | 8003  | 8009     | none                  | 2.1.11  | 3039680930
45.250.253.79   | 63znFv2RVDb8tKJ9AF7C7UPzd9zJjNgahuowD9z2Nsa4 | 21610  | 11603 | 11609    | 45.250.253.79:21611   | 2.1.15  | 3271415109
67.209.54.25    | 3BBS9yB6NuixZBxozq8mimaf2nnxk8mixMDhZqMobUnX | 8001   | none  | none     | none                  | 1.18.16 | 4215500110
152.70.56.126   | BLQagpVm2yeEMPFCbCfyWuuYQ9hiuGN2r57Sbk1nerBW | 8001   | 8004  | 8010     | none                  | 1.18.25 | 3241752014
137.74.50.2     | 8PKCFqyvK43pd9NgK7JfJS9j892F8b8SYL5R4Hk4Uct6 | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
54.38.48.190    | pGZCUPiygJtFfMfM6ubcpXzuqTxa5EE1BYC2wdppD6H  | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
64.130.52.40    | 9SkCTwqVLfg9xfEAkGGaYs1Wjb2x4ttkkBCVjVVfACN1 | 8001   | none  | none     | none                  | 2.0.22  | 607245837
206.125.33.11   | E3k9iv2MSKMTEsqodjU6Lnr9T1r1FZKpz7Pu2SeuzkSV | 8001   | 8003  | 8009     | none                  | 2.1.4   | 288566304
185.191.116.239 | DxZpBo38BQydgms9TSFxL3NBG3vVYf2qskyTJANxQAJZ | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
